enrollment_id,employee_id,expected_exception_type,expected_severity,expected_business_impact
ENR000003421,EE0000928,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000003512,EE0000955,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000003564,EE0000968,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000003574,EE0000971,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000003578,EE0000972,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000003590,EE0000974,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000003600,EE0000979,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000003601,EE0000979,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000003627,EE0000987,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000003650,EE0000997,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000003669,EE0001001,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000003701,EE0001009,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000003727,EE0001017,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000003728,EE0001017,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000003737,EE0001019,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000003773,EE0001031,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000003779,EE0001034,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000003790,EE0001037,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000003794,EE0001038,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000003845,EE0001049,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000003859,EE0001052,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000003867,EE0001056,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000003895,EE0001063,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000003898,EE0001065,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000003914,EE0001070,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000003933,EE0001076,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000003998,EE0001095,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000004026,EE0001105,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000004035,EE0001108,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000004040,EE0001109,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000004054,EE0001112,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000004055,EE0001112,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000004060,EE0001114,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000004064,EE0001114,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000004076,EE0001117,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000004077,EE0001117,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000004082,EE0001120,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000004130,EE0001131,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000004153,EE0001141,PLAN_MISMATCH,High,Approved plan differs from the employer election.
ENR000004192,EE0001150,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000004220,EE0001155,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000004230,EE0001158,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000004249,EE0001162,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000004260,EE0001164,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000004343,EE0001189,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000004352,EE0001191,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000004402,EE0001205,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000004441,EE0001215,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000004454,EE0001220,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000004469,EE0001224,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000004484,EE0001229,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000004485,EE0001229,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000004490,EE0001230,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000004540,EE0001243,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000004559,EE0001247,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000004578,EE0001252,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000004587,EE0001254,PLAN_MISMATCH,High,Approved plan differs from the employer election.
ENR000004589,EE0001254,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000004590,EE0001254,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000004608,EE0001259,PLAN_MISMATCH,High,Approved plan differs from the employer election.
ENR000004650,EE0001271,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000004659,EE0001275,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000004659,EE0001275,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000004674,EE0001278,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000004679,EE0001280,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000004697,EE0001284,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000004711,EE0001288,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000004738,EE0001295,PLAN_MISMATCH,High,Approved plan differs from the employer election.
ENR000004763,EE0001301,PLAN_MISMATCH,High,Approved plan differs from the employer election.
ENR000004773,EE0001303,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000004780,EE0001306,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000004799,EE0001311,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000004812,EE0001314,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000004820,EE0001316,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000004838,EE0001320,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000004850,EE0001323,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000004856,EE0001324,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000004873,EE0001329,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000004875,EE0001329,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000004876,EE0001330,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000004912,EE0001341,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000004941,EE0001347,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000004947,EE0001349,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000004960,EE0001353,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000004968,EE0001355,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000004992,EE0001359,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000004993,EE0001360,PLAN_MISMATCH,High,Approved plan differs from the employer election.
ENR000005027,EE0001372,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000005029,EE0001372,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000005059,EE0001379,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000005077,EE0001383,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000005103,EE0001391,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000005109,EE0001394,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000005112,EE0001394,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000005155,EE0001405,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000005158,EE0001406,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000005159,EE0001406,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000005174,EE0001410,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000005192,EE0001414,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000005222,EE0001421,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000005225,EE0001422,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000005226,EE0001422,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000005261,EE0001430,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000005306,EE0001447,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000005309,EE0001447,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000005315,EE0001449,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000005328,EE0001453,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000005391,EE0001471,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000005417,EE0001477,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000005460,EE0001487,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000005469,EE0001491,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000005517,EE0001502,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000005527,EE0001505,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000005552,EE0001511,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000005632,EE0001532,DELAYED_ELIGIBILITY_START,High,Eligibility begins after the requested coverage date.
ENR000005639,EE0001534,PLAN_MISMATCH,High,Approved plan differs from the employer election.
ENR000005713,EE0001554,DUPLICATE_ACTIVE_ELIGIBILITY,Medium,Multiple active eligibility rows may cause billing or claims-processing errors.
ENR000005715,EE0001555,MISSING_ELIGIBILITY,High,Requested coverage was not established.
ENR000005731,EE0001558,MISSING_ELIGIBILITY,High,Requested coverage was not established.
